modality,pilot_n,rep,pi,scale,true_omega2,power,eval_n
gene,7,16,1.0,1.3,0.40733996542528,1.0,80
gene,7,16,1.0,1.7,0.4502122879282886,1.0,80
gene,7,17,0.5,1.0,0.0,0.075,80
gene,7,17,0.6,1.0,0.0131533801362064,0.55,80
gene,7,17,0.68,1.0,0.0652211706517126,1.0,80
gene,7,17,0.75,1.0,0.0777223392679534,1.0,80
gene,7,17,0.82,1.0,0.1271483734106274,1.0,80
gene,7,17,0.88,1.0,0.2298910929866202,1.0,80
gene,7,17,0.93,1.0,0.2531500592622323,1.0,80
gene,7,17,0.97,1.0,0.3095674383409418,1.0,80
gene,7,17,1.0,1.0,0.4051017447945521,1.0,80
gene,7,17,1.0,1.3,0.4344401433561478,1.0,80
gene,7,17,1.0,1.7,0.4328228956354412,1.0,80
gene,7,18,0.5,1.0,0.0,0.125,80
gene,7,18,0.6,1.0,0.0137154033165481,0.6,80
gene,7,18,0.68,1.0,0.0700086908286054,1.0,80
gene,7,18,0.75,1.0,0.073659790359252,1.0,80
gene,7,18,0.82,1.0,0.1209938017728672,1.0,80
gene,7,18,0.88,1.0,0.2750480462163279,1.0,80
gene,7,18,0.93,1.0,0.2313598650027145,1.0,80
gene,7,18,0.97,1.0,0.3279085733764559,1.0,80
gene,7,18,1.0,1.0,0.4290987194691738,1.0,80
gene,7,18,1.0,1.3,0.4439617928905958,1.0,80
gene,7,18,1.0,1.7,0.2172424291204076,1.0,80
gene,7,19,0.5,1.0,0.0,0.075,80
gene,7,19,0.6,1.0,0.0111384124201652,0.575,80
gene,7,19,0.68,1.0,0.0639219108084489,1.0,80
gene,7,19,0.75,1.0,0.0671525021200142,1.0,80
gene,7,19,0.82,1.0,0.0885248375854225,1.0,80
gene,7,19,0.88,1.0,0.2340040007992591,1.0,80
gene,7,19,0.93,1.0,0.2527871881982317,1.0,80
gene,7,19,0.97,1.0,0.3183476153195694,1.0,80
gene,7,19,1.0,1.0,0.3789048001283915,1.0,80
gene,7,19,1.0,1.3,0.3729480573653509,1.0,80
gene,7,19,1.0,1.7,0.4427117360289485,1.0,80
gene,10,0,0.5,1.0,0.0,0.05,80
gene,10,0,0.6,1.0,0.0122407082633543,0.6,80
gene,10,0,0.68,1.0,0.0699578837481657,1.0,80
gene,10,0,0.75,1.0,0.0796386415261231,1.0,80
gene,10,0,0.82,1.0,0.1092641978307686,1.0,80
gene,10,0,0.88,1.0,0.2767644845174267,1.0,80
gene,10,0,0.93,1.0,0.2672888837848179,1.0,80
gene,10,0,0.97,1.0,0.3517000624733885,1.0,80
gene,10,0,1.0,1.0,0.4031495851663786,1.0,80
gene,10,0,1.0,1.3,0.401394086832147,1.0,80
gene,10,0,1.0,1.7,0.4599576936935285,1.0,80
gene,10,1,0.5,1.0,0.0,0.05,80
gene,10,1,0.6,1.0,0.0122407082633541,0.6,80
gene,10,1,0.68,1.0,0.0699578837481658,1.0,80
gene,10,1,0.75,1.0,0.0796386415261228,1.0,80
gene,10,1,0.82,1.0,0.1092641978307684,1.0,80
gene,10,1,0.88,1.0,0.2767644845174268,1.0,80
gene,10,1,0.93,1.0,0.2672888837848178,1.0,80
gene,10,1,0.97,1.0,0.3517000624733883,1.0,80
gene,10,1,1.0,1.0,0.4031495851663785,1.0,80
gene,10,1,1.0,1.3,0.4013940868321466,1.0,80
gene,10,1,1.0,1.7,0.4599576936935286,1.0,80
gene,10,2,0.5,1.0,0.0,0.05,80
gene,10,2,0.6,1.0,0.0122407082633543,0.6,80
gene,10,2,0.68,1.0,0.0699578837481657,1.0,80
